oweb_01GW2HT85178ACYJVCKXKSRZJA,http://www.mnhc.org/,,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,f,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,f,f,t
oweb_01H29ENF8JTJ3FNJ5BQXDH4PMA,https://recoverycafelexington.org/,,orgn_01H29CX1KRXD89404CG1D4TY6S,f,2023-03-22 21:47:01.905,2023-05-12 23:38:51.738,f,f,t
oweb_01GW2HT88FEDZP56FZR2H6KPV6,http://www.ecs-sf.org/,,orgn_01GVH3V3SDPYF4MDPTCZDBVPH3,f,2020-03-27 18:54:17.944,2023-02-22 00:09:35.914,f,f,t
oweb_01H29ENF953Z14FKACFT01SXDF,https://www.reclaim.care/,,orgn_01H29CX1KXN804H47QZAX7TQAZ,f,2023-03-26 20:36:25.142,2023-05-13 00:39:43.348,f,f,t
oweb_01GW2HT8951P9NT3JTQ1BMJEC1,https://www.sfcityimpact.com,,orgn_01GVH3V3SNKE37K5TBYA8DS79A,f,2020-03-27 18:54:18.037,2022-12-09 21:55:53.158,f,f,t
oweb_01H29ENFAE6AA2ATAZG8XBN3Z0,http://www.southsidepresbyterian.org/,,orgn_01H29CX1MAEMN8FKKK2FP7Q80Z,f,2023-03-27 18:23:59.53,2023-05-13 00:53:11.763,f,f,t
oweb_01GW2HT8A13JJY8JPCG4KZ5Q9A,http://www.upwardlyglobal.org,,orgn_01GVH3V3S8ZFWWNVC4V5J71PAZ,f,2020-03-27 18:54:17.905,2022-12-08 20:32:11.245,f,f,t
oweb_01H29ENFAT8KX99JM9FSJT7WR2,https://www.lgbtqcenterofdurham.org/,,orgn_01H29CX1MFPKQPVAQXV5427AYY,f,2023-03-28 23:39:04.438,2023-05-13 15:57:23.635,f,f,t
oweb_01GW2HT8AGJ0GJJ6EMFCQ456BQ,https://www.defrankcenter.org/,,orgn_01GVH3V3T2111TY4MR1HW6WS22,f,2020-03-27 18:54:18.109,2023-02-23 16:32:43.357,f,f,t
oweb_01H29ENFCA2PG5290ZQ77MW9JW,https://outsidein.org/,,orgn_01H29CX1MMQZ0HHYWWH79TMD5N,f,2023-03-29 15:22:51.079,2023-05-13 16:25:59.23,f,f,t
