lang_0000000000XJR2NSST34FW920D,Esperanto,eo,epo,Esperanto,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000005B6WWE10VS8BHY41,Estonian,et,est,Eesti,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000NSGRAA2F186G5Q1F,Basque,eu,eus,Euskara,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000QWAFFNDAW9D75HK6,Persian,fa,fas,فارسی,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000YSJFJHHTSAWDTFMJ,Fula,ff,ful,Fulfulde,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000GZXXRD16FPAEARDR,Finnish,fi,fin,Suomi,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000R010AWHPCJWB7NK4,Fijian,fj,fij,Vakaviti,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_000000000026VXY1H7HMDVC8JC,Faroese,fo,fao,Føroyskt,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000KB422AMC2P3YSXZS,Western Frisian,fy,fry,Frysk,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000CYB8QPSP7WJD84GA,Irish,ga,gle,Gaeilge,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000QQ2SMTKQCTCQNYEZ,Scottish Gaelic,gd,gla,Gàidhlig,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000ZZWEN9V7ER1B9M5W,Galician,gl,glg,Galego,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000JFMNTT896H70QS7D,Guaraní,gn,grn,Avañe'ẽ,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000005ZAQ0KFK1Q3D7NEA,Gujarati,gu,guj,ગુજરાતી,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000SX6M9KT5E3Y7JX30,Manx,gv,glv,Gaelg,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000AFK6BG0W4JT1W61R,Hausa,ha,hau,هَوُسَ,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000K0VSDF2555T7DKX1,Hebrew,he,heb,עברית,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000CKHGN5EZWSMASTZB,Hindi,hi,hin,हिन्दी,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000GDQ01JWWQRS0RNME,Hiri Motu,ho,hmo,Hiri motu,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000006YPFN5BCRGB4ZKTV,Croatian,hr,hrv,Hrvatski,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000008SDB2XNNYNM8D83F,Haitian,ht,hat,Kreyòl ayisyen,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000A01MMDTSSP53V66H,Hungarian,hu,hun,Magyar,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000202PV6ES5R39AFVY,Armenian,hy,hye,Հայերեն,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000XTP4RRR9ZA90Z2G2,Herero,hz,her,Otjiherero,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000005163PHA8YJWBS2WE,Interlingua,ia,ina,Interlingua,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
