oapi_01GW2HT8AGMAM2TCHFS13J17N6,4b4595f7f964a5202e0e26e3,foursquare,,,2020-03-27 18:54:18.109,2023-02-23 16:32:43.357,t
oapi_01GW2HT8JEYB0KHDVZX3RKKFA0,4b799f2bf964a52029062fe3,foursquare,,,2020-03-27 18:54:18.07,2023-01-04 23:30:23.244,t
oapi_01GW2HT8SYHDAGT9EXWQBF8GBG,4b564220f964a520e10728e3,foursquare,,,2020-03-27 18:54:18.228,2022-10-26 00:27:05.878,t
oapi_01GW2HT8WH5A20DQ8R37TKE86T,4b68ac65f964a5205c862be3,foursquare,,,2020-03-27 18:54:18.699,2022-10-26 00:28:53.123,t
oapi_01GW2HT94HVBBVPH29R3JN8Q4Q,4b528e03f964a520188227e3,foursquare,,,2020-03-27 18:54:19.378,2023-03-19 21:24:06.024,t
oapi_01GW2HTA78FY1HVW8GJAKSCW66,4a70a76cf964a52017d81fe3,foursquare,,,2020-03-27 18:54:20.726,2023-03-01 06:01:10.166,t
oapi_01GW2HTANM892WHWKM1NNKCGG9,4da7718593a021ab13b3d05c,foursquare,,,2020-03-27 18:54:20.889,2022-12-07 18:49:19.562,t
oapi_01GW2HTAQWB139PZZZNBY1JE0E,4f8e15f7e4b0bdaf0628512b,foursquare,,,2020-03-27 18:54:20.988,2022-10-26 02:56:42.363,t
oapi_01GW2HTCTVATVAQ64PJ1KGJ7J5,4c7bd8ea88449eb0528dab79,foursquare,,,2020-03-27 18:54:25.834,2023-03-06 02:50:55.459,t
oapi_01GW2HTDRCH4JHCHBYTZKJVYR0,4f313f41e4b0bae09593bf16,foursquare,,,2020-03-27 18:54:26.988,2022-12-04 23:06:45.783,t
oapi_01GW2HTGZTCMCZQHVQVBC5P0S8,4ca8f9f414c3370440abd93b,foursquare,,,2020-04-30 18:28:11.721,2023-03-19 21:24:06.024,t
oapi_01GW2HTJ43CPAPQRPPJ7MEY1MC,4c01aa58716bc9b6804bbc55,foursquare,,,2020-07-15 12:45:03.721,2023-03-11 23:23:18.481,t
oapi_01GW2HTJWJR5WPG8N2DGNJDDC2,50bf62f1e4b0fb902019e6d4,foursquare,,,2020-07-07 15:07:18.806,2022-11-16 19:56:20.202,t
oapi_01GW2HTM3CV4Z338QP7DYF8VBA,5793852b498ed1033d9a2344,foursquare,,,2020-08-31 22:04:43.491,2023-03-13 03:14:00.185,t
oapi_01GW2HTM50XPXZZ265PD9397Z1,452d6886f964a5204a3b1fe3,foursquare,,,2020-08-10 15:32:27.394,2023-03-07 01:35:11.942,t
oapi_01GW2HTN301TZQCPJ5K98DAJQ8,4c4a63889e6dbe9a6511780a,foursquare,,,2020-09-23 20:04:51.781,2023-02-09 20:28:06.704,t
oapi_01GW2HTWXEM0WDYXDZVG5066A9,4ae24479f964a5209e8c21e3,foursquare,,,2021-05-19 14:32:37.221,2023-02-24 01:53:10.494,t
oapi_01GW2HV03M6HET39KN9JNSQHK0,4c7aa680566db60c6fa4480e,foursquare,,,2021-10-13 19:22:05.031,2022-10-25 21:44:35.736,t
oapi_01GW2HV4XD8CJZEK6YFKNBWD1Q,4c23ae5cc9bbef3b1613afac,foursquare,,,2021-12-31 20:20:30.78,2023-03-14 20:24:01.342,t
oapi_01GW2HV5QGJ3YWVCQWNZR2DN0H,4c0ed512d64c0f4778df285d,foursquare,,,2022-03-24 19:53:32.312,2023-03-20 04:14:44.062,t
oapi_01GW2HVE5ARMEW7ZHD7XDD9RW8,4f443130e4b0f1fcfdc26df9,foursquare,,,2023-02-20 20:17:49.522,2023-02-21 03:35:34.968,t
oapi_01GW2HVED7PV5G1404WCJH72VG,4c23b24ac9bbef3b1514afac,foursquare,,,2023-03-06 02:16:49.475,2023-03-06 02:43:48.24,t
